iter	Passed	Remaining
432	1753	2296
433	1757	2292
434	1760	2287
435	1764	2283
436	1768	2278
437	1772	2273
438	1776	2269
439	1779	2264
440	1782	2259
441	1786	2254
442	1794	2256
443	1797	2251
444	1802	2248
445	1806	2244
446	1810	2239
447	1813	2234
448	1817	2230
449	1821	2225
450	1824	2220
451	1827	2215
452	1831	2211
453	1834	2206
454	1838	2202
455	1841	2196
456	1845	2193
457	1849	2188
458	1852	2183
459	1855	2178
460	1859	2174
461	1863	2170
462	1866	2165
463	1869	2160
464	1874	2156
465	1877	2151
466	1881	2147
467	1884	2141
468	1888	2138
469	1891	2133
470	1895	2128
471	1898	2123
472	1901	2119
473	1905	2113
474	1908	2109
475	1912	2104
476	1915	2100
477	1918	2095
478	1922	2090
479	1925	2086
480	1928	2081
481	1931	2075
482	1934	2070
483	1937	2066
484	1940	2060
485	1943	2055
486	1946	2050
487	1950	2046
488	1953	2041
489	1956	2035
490	1958	2030
491	1961	2025
492	1964	2020
493	1967	2015
494	1970	2009
495	1972	2004
496	1975	1999
497	1978	1994
498	1981	1989
499	1984	1984
500	1987	1979
501	1990	1974
502	1993	1970
503	1997	1965
504	2001	1962
505	2004	1957
506	2009	1953
507	2013	1949
508	2016	1944
509	2018	1939
510	2021	1934
511	2024	1929
512	2028	1925
513	2030	1919
514	2032	1914
515	2035	1908
516	2037	1903
517	2041	1899
518	2043	1894
519	2046	1889
520	2048	1883
521	2051	1878
522	2053	1872
523	2055	1867
524	2058	1862
525	2061	1857
526	2063	1852
527	2066	1847
528	2069	1842
529	2072	1837
530	2074	1832
531	2076	1827
532	2078	1821
533	2081	1816
534	2084	1811
535	2086	1806
536	2089	1801
537	2091	1795
538	2093	1790
539	2097	1786
540	2100	1781
541	2102	1776
542	2104	1771
543	2108	1767
544	2110	1762
545	2113	1757
546	2116	1752
547	2119	1748
548	2122	1743
549	2124	1738
550	2127	1733
551	2129	1728
552	2132	1723
553	2134	1718
554	2137	1713
555	2139	1708
556	2142	1703
557	2145	1699
558	2148	1694
559	2150	1689
560	2152	1684
561	2154	1679
562	2157	1674
563	2160	1669
564	2162	1664
565	2165	1660
566	2167	1655
567	2170	1650
568	2173	1646
569	2176	1641
570	2179	1637
571	2184	1634
572	2186	1629
573	2189	1624
574	2192	1620
575	2195	1616
576	2197	1611
577	2199	1606
578	2202	1601
579	2205	1596
580	2207	1592
581	2210	1587
582	2212	1582
583	2215	1577
584	2217	1573
585	2220	1568
586	2223	1564
587	2225	1559
588	2228	1554
589	2230	1550
590	2233	1545
591	2235	1540
592	2237	1535
593	2240	1531
594	2242	1526
595	2244	1521
596	2246	1516
597	2249	1511
598	2251	1506
599	2253	1502
600	2255	1497
601	2257	1492
602	2260	1488
603	2262	1483
604	2264	1478
605	2266	1473
606	2268	1468
607	2270	1464
608	2273	1459
609	2274	1454
610	2277	1450
611	2279	1445
612	2281	1440
613	2284	1435
614	2286	1431
615	2288	1426
616	2290	1421
617	2292	1417
618	2294	1412
619	2297	1407
620	2298	1402
621	2301	1398
622	2303	1393
623	2305	1389
624	2307	1384
625	2309	1379
626	2311	1375
627	2313	1370
628	2315	1365
629	2317	1361
630	2320	1356
631	2322	1352
632	2324	1347
633	2327	1343
634	2329	1339
635	2332	1334
636	2334	1330
637	2337	1326
638	2340	1322
639	2342	1317
640	2345	1313
641	2347	1309
642	2349	1304
643	2352	1300
644	2354	1296
645	2356	1291
646	2359	1287
647	2361	1282
648	2363	1278
649	2366	1274
650	2368	1269
651	2370	1265
652	2373	1261
653	2375	1256
654	2377	1252
655	2379	1247
656	2381	1243
657	2384	1239
658	2386	1235
659	2388	1230
660	2391	1226
661	2393	1222
662	2396	1218
663	2398	1213
664	2400	1209
665	2403	1205
666	2405	1200
667	2407	1196
668	2410	1192
669	2412	1188
670	2419	1186
671	2421	1182
672	2424	1177
673	2426	1173
674	2429	1169
675	2431	1165
676	2434	1161
677	2436	1157
678	2439	1153
679	2442	1149
680	2447	1146
681	2454	1144
682	2460	1141
683	2463	1137
684	2466	1134
685	2470	1130
686	2473	1127
687	2476	1123
688	2479	1119
689	2483	1115
690	2486	1112
691	2490	1108
692	2493	1104
693	2496	1100
694	2499	1096
695	2502	1093
696	2505	1089
697	2509	1085
698	2514	1082
699	2517	1079
700	2520	1075
701	2524	1071
702	2527	1067
703	2530	1064
704	2534	1060
705	2537	1056
706	2541	1053
707	2544	1049
708	2547	1045
709	2550	1041
710	2554	1038
711	2558	1035
712	2563	1031
713	2567	1028
714	2571	1024
715	2574	1021
716	2577	1017
717	2581	1013
718	2584	1010
719	2588	1006
720	2591	1002
721	2594	999
722	2598	995
723	2601	991
724	2604	987
725	2607	984
726	2611	980
727	2615	977
728	2618	973
729	2623	970
730	2628	967
731	2631	963
732	2636	960
733	2639	956
734	2642	952
735	2645	948
736	2648	945
737	2652	941
738	2655	937
739	2657	933
740	2660	929
741	2663	926
742	2667	922
743	2670	918
744	2673	915
745	2676	911
746	2679	907
747	2682	903
748	2684	899
749	2686	895
750	2689	891
751	2693	888
752	2696	884
753	2699	880
754	2701	876
755	2704	873
756	2707	869
757	2711	865
758	2714	861
759	2717	858
760	2721	854
761	2724	850
762	2727	847
763	2729	843
764	2732	839
765	2736	835
766	2738	831
767	2741	828
768	2744	824
769	2746	820
770	2749	816
771	2752	812
772	2755	809
773	2757	805
774	2760	801
775	2764	797
776	2767	794
777	2770	790
778	2773	786
779	2776	783
780	2779	779
781	2783	775
782	2785	772
783	2788	768
784	2791	764
785	2794	760
786	2801	758
787	2805	754
788	2810	751
789	2813	748
790	2816	744
791	2819	740
792	2821	736
793	2824	732
794	2826	728
795	2829	725
796	2832	721
797	2834	717
798	2837	713
799	2839	709
800	2843	706
801	2846	702
802	2848	698
803	2851	695
804	2853	691
805	2856	687
806	2859	683
807	2862	680
808	2864	676
809	2867	672
810	2870	668
811	2872	665
812	2875	661
813	2877	657
814	2880	653
815	2882	650
816	2885	646
817	2888	642
818	2890	638
819	2893	635
820	2895	631
821	2898	627
822	2901	624
823	2904	620
824	2906	616
825	2909	612
826	2911	609
827	2914	605
828	2917	601
829	2920	598
830	2922	594
831	2924	590
832	2927	586
833	2931	583
834	2934	579
835	2937	576
836	2939	572
837	2943	569
838	2946	565
839	2948	561
840	2951	557
841	2953	554
842	2956	550
843	2958	546
844	2960	543
845	2963	539
846	2965	535
847	2967	531
848	2969	528
849	2972	524
850	2975	520
851	2977	517
852	2979	513
853	2982	509
854	2986	506
855	2988	502
856	2991	499
857	2993	495
858	2995	491
859	2998	488
860	3000	484
861	3002	480
862	3004	477
863	3007	473
864	3010	469
865	3013	466
866	3015	462
867	3017	458
868	3019	455
869	3022	451
870	3025	448
871	3027	444
872	3030	440
873	3032	437
874	3034	433
875	3037	429
876	3040	426
877	3042	422
878	3044	419
879	3046	415
880	3049	411
881	3051	408
882	3053	404
883	3056	401
884	3058	397
885	3060	393
886	3063	390
887	3066	386
888	3069	383
889	3071	379
890	3073	376
891	3076	372
892	3078	368
893	3081	365
894	3083	361
895	3085	358
896	3088	354
897	3090	351
898	3093	347
899	3096	344
900	3098	340
901	3101	336
902	3103	333
903	3105	329
904	3107	326
905	3110	322
906	3112	319
907	3114	315
908	3116	311
909	3118	308
910	3120	304
911	3122	301
912	3125	297
913	3127	294
914	3130	290
915	3132	287
916	3134	283
917	3136	280
918	3139	276
919	3142	273
920	3145	269
921	3147	266
922	3149	262
923	3152	259
924	3154	255
925	3157	252
926	3159	248
927	3161	245
928	3164	241
929	3166	238
930	3170	234
931	3172	231
932	3175	228
933	3178	224
934	3181	221
935	3183	217
936	3186	214
937	3189	210
938	3191	207
939	3194	203
940	3196	200
941	3198	196
942	3201	193
943	3203	190
944	3205	186
945	3208	183
946	3210	179
947	3212	176
948	3215	172
949	3217	169
950	3220	165
951	3223	162
952	3226	159
953	3228	155
954	3231	152
955	3235	148
956	3238	145
957	3241	142
958	3245	138
959	3247	135
960	3250	131
961	3253	128
962	3255	125
963	3259	121
964	3262	118
965	3265	114
966	3269	111
967	3272	108
968	3275	104
969	3279	101
970	3282	98
971	3285	94
972	3288	91
973	3292	87
974	3296	84
975	3299	81
976	3303	77
977	3308	74
978	3311	71
979	3314	67
980	3319	64
981	3322	60
982	3326	57
983	3329	54
984	3332	50
985	3336	47
986	3339	43
987	3342	40
988	3345	37
989	3348	33
990	3351	30
991	3354	27
992	3357	23
993	3362	20
994	3366	16
995	3369	13
996	3372	10
997	3376	6
998	3381	3
999	3384	0
